Team_name,Team_GP,Team_PTS,Team_FGM,Team_FGA,Team_ThreePM,Team_ThreePA,Team_FTM,Team_FTA,Team_OR,Team_DR,Team_REB,Team_AST,Team_STL,Team_BLK,Team_TO,Team_PF,Team_FG_percent,Team_ThreeP_percent,Team_FT_percent,Year,Team_BPI,Team_DEF_I,Team_OFF_I,Team_CONF,Team_QUAL_WINS,Team_SOR_RK,Team_SOS_RK,Team_QUAL_LOSS,Team_Wins,Team_Losses
1329.0,34,76.0,25.3,66.8,5.8,31.2,9.9,26.4,6.3,22.5,31.6,11.1,4.2,1.8,17.7,13.8,41.7,30.6,63.6,2020,8.6,0.9,-1.4,Big 12,4,45.0,19.0,10,18,14
1211.0,37,87.6,31.8,60.5,7.8,21.4,16.3,21.4,9.9,29.1,39.0,18.1,7.5,5.5,10.6,16.3,52.6,36.3,76.1,2019,23.1,9.0,14.0,WCC,6,10.0,74.0,4,33,4
1125.0,33,86.9,31.6,63.5,10.4,27.9,13.4,18.1,8.8,29.8,38.6,19.5,6.7,3.8,11.4,15.4,49.8,37.2,73.7,2019,9.4,1.9,7.5,OVC,3,42.0,147.0,3,27,6
1314.0,36,85.8,31.1,66.9,8.7,23.9,15.0,20.2,13.3,30.5,43.8,18.8,7.0,3.3,13.1,17.0,46.4,36.2,74.3,2019,18.9,8.2,10.7,ACC,12,4.0,5.0,7,29,7
1154.0,30,85.1,30.0,67.0,12.3,35.9,12.8,17.4,10.7,26.1,36.8,15.4,6.7,3.7,12.9,17.6,44.7,34.4,73.6,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1138.0,36,84.4,30.1,65.2,9.6,28.4,14.6,21.3,12.7,28.2,40.9,16.6,7.3,3.9,11.9,18.3,46.2,33.6,68.7,2019,12.6,5.6,7.0,MAC,1,19.0,100.0,2,32,4
1220.0,35,83.4,28.5,58.7,8.8,22.9,17.6,21.9,8.7,24.6,33.4,14.1,6.5,3.5,9.8,15.0,48.6,38.5,80.2,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1457.0,30,83.3,28.5,62.6,12.4,33.2,13.9,18.8,11.0,30.0,41.0,15.3,4.5,2.8,15.2,17.8,45.5,37.3,73.8,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1252.0,37,83.1,28.9,60.3,8.8,23.7,16.4,21.6,9.0,28.2,37.2,17.7,7.2,2.9,13.2,17.1,48.0,37.3,75.8,2019,8.9,4.1,4.9,ASUN,2,43.0,107.0,5,29,8
1141.0,35,82.7,28.3,62.2,8.7,23.5,17.4,25.9,12.1,25.7,37.7,13.3,7.6,3.1,12.1,16.9,45.5,37.1,67.1,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1181.0,38,82.7,30.4,63.6,7.3,23.8,14.5,21.1,13.1,28.2,41.2,15.9,9.1,6.8,12.8,15.7,47.8,30.8,68.6,2019,21.3,10.4,10.9,ACC,16,2.0,6.0,6,32,6
1236.0,33,82.7,30.0,62.4,10.9,28.8,11.7,16.9,8.5,26.1,34.6,15.9,7.5,4.8,12.0,15.0,48.1,37.9,69.3,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1184.0,31,82.6,29.1,68.5,8.8,26.8,15.7,22.0,11.9,25.7,37.6,14.8,10.2,3.3,14.4,21.3,42.4,32.7,71.2,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1293.0,33,82.6,29.9,60.8,7.8,22.2,14.9,20.4,10.8,27.1,37.9,17.9,7.5,4.5,12.1,16.0,49.2,35.3,73.1,2019,9.0,3.2,5.8,OVC,2,41.0,193.0,3,28,5
1204.0,33,82.6,30.7,61.5,6.2,19.2,15.1,21.8,9.7,26.5,36.2,12.2,7.7,4.0,13.7,17.9,49.9,32.3,69.2,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1397.0,36,82.5,30.1,60.6,7.1,19.4,15.3,20.3,10.6,27.2,37.7,18.1,6.1,5.4,11.0,17.7,49.7,36.3,75.4,2019,17.1,5.7,11.4,SEC,9,6.0,31.0,6,31,6
1198.0,34,82.3,29.0,65.9,8.2,27.1,16.1,25.1,10.9,24.9,35.8,14.4,10.6,4.6,14.0,19.3,44.0,30.2,64.0,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1459.0,35,82.3,29.8,60.9,11.0,26.5,11.6,16.5,10.4,24.6,35.0,15.1,6.7,3.0,10.8,16.8,49.0,41.4,70.4,2019,14.3,4.4,9.9,Southern,0,20.0,94.0,5,30,5
1122.0,33,82.2,29.5,62.4,8.1,21.3,15.1,21.4,12.1,24.9,37.1,13.8,7.6,3.3,11.9,18.1,47.2,38.2,70.6,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1223.0,30,82.2,28.8,63.2,6.7,19.6,17.8,26.4,13.8,24.3,38.1,15.0,7.8,1.8,14.7,19.8,45.6,34.0,67.5,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1411.0,38,81.6,28.5,62.6,7.3,22.4,17.4,26.0,12.5,27.1,39.6,15.6,8.1,3.0,15.5,17.9,45.5,32.4,66.8,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1418.0,32,81.6,28.2,63.2,8.8,25.6,16.5,22.2,11.4,24.3,35.7,15.3,7.0,3.9,13.2,19.1,44.5,34.5,74.2,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1214.0,35,81.3,27.6,63.9,8.3,24.1,17.8,22.6,10.7,28.5,39.1,13.9,6.1,3.5,10.8,18.5,43.2,34.5,78.7,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1453.0,38,81.3,29.1,63.5,8.0,23.1,15.1,21.5,10.2,26.8,37.0,15.2,7.7,4.1,13.2,19.2,45.8,34.5,70.3,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1267.0,37,80.5,28.3,64.0,9.8,28.6,14.1,19.5,8.9,25.2,34.1,14.2,9.0,4.6,12.2,17.9,44.2,34.2,72.2,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1261.0,35,80.4,28.2,61.8,6.7,21.1,17.2,22.9,13.4,25.3,38.7,12.9,8.8,4.2,12.9,18.1,45.7,31.9,75.2,2019,12.7,4.2,8.5,SEC,7,14.0,39.0,5,28,7
1463.0,29,80.3,29.7,60.7,7.8,21.5,13.2,18.2,8.9,30.0,38.9,17.0,6.0,4.3,13.2,17.0,48.9,36.1,72.7,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1305.0,34,80.1,27.2,58.8,8.7,25.1,17.0,24.0,9.6,27.9,37.4,14.6,6.2,3.9,10.4,17.2,46.2,34.7,70.8,2019,12.9,5.7,7.1,Mountain West,1,29.0,121.0,2,29,5
1301.0,36,80.1,29.5,64.4,8.1,23.1,13.0,18.4,13.6,25.0,38.5,15.0,7.1,3.8,12.5,19.2,45.8,35.2,70.8,2019,11.7,4.6,7.0,ACC,5,33.0,58.0,10,24,12
1272.0,36,80.1,28.1,62.2,7.2,22.4,16.6,23.2,12.2,25.5,37.7,15.4,8.0,4.0,15.0,20.5,45.3,32.2,71.4,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1250.0,31,80.0,27.6,57.3,9.3,21.9,15.5,20.0,7.5,28.2,35.6,15.2,5.5,2.3,13.5,18.4,48.2,42.3,77.4,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1357.0,32,79.9,27.7,60.2,7.6,21.3,17.0,22.6,11.3,27.2,38.5,14.7,5.3,4.2,14.5,17.9,46.0,35.7,75.5,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1111.0,32,79.9,27.5,60.6,9.1,25.4,15.8,22.1,9.7,25.5,35.2,12.7,5.3,2.8,13.1,18.3,45.4,35.9,71.5,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1190.0,34,79.6,29.5,60.8,8.1,22.3,12.5,18.6,13.1,26.6,39.7,15.7,7.4,4.0,14.2,17.7,48.6,36.1,67.0,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1120.0,39,79.6,27.5,60.9,11.3,29.8,13.4,18.9,11.6,22.5,34.1,14.3,9.1,4.7,11.8,18.4,45.1,37.7,70.8,2019,16.4,5.9,10.5,SEC,9,11.0,20.0,7,30,10
1207.0,33,79.5,27.1,61.1,8.2,22.9,17.2,23.4,10.7,28.6,39.3,16.4,6.0,4.0,13.4,17.6,44.3,35.5,73.7,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1451.0,33,79.3,27.9,58.6,7.5,20.7,16.0,21.5,6.8,28.8,35.6,11.6,5.4,4.2,11.7,18.5,47.6,36.4,74.6,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1419.0,35,79.2,26.3,58.0,10.1,25.5,16.5,21.1,9.1,24.5,33.6,14.2,5.9,2.2,11.4,15.6,45.4,39.6,78.2,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1140.0,32,79.0,27.4,58.7,7.1,21.4,17.0,23.4,8.3,26.7,34.9,15.1,6.3,3.3,11.1,19.5,46.8,33.0,72.7,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1224.0,34,78.9,27.6,63.6,7.2,19.7,16.6,22.9,11.8,25.1,36.9,13.6,5.8,4.2,12.6,19.2,43.3,36.5,72.6,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1303.0,32,78.8,29.7,62.4,8.8,22.5,10.7,14.8,8.5,24.2,32.7,12.8,5.6,1.9,9.5,15.2,47.5,39.2,72.1,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1249.0,33,78.7,27.3,59.9,6.9,20.1,17.1,24.9,13.6,25.2,38.8,14.6,8.6,2.9,14.3,18.8,45.6,34.3,68.7,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1429.0,35,78.7,27.4,58.3,7.8,22.1,16.0,21.3,10.9,29.1,40.1,17.1,6.1,4.2,12.8,18.5,47.0,35.5,74.8,2019,8.9,4.4,4.5,Mountain West,2,39.0,115.0,2,28,7
1297.0,35,78.5,28.0,58.5,8.7,24.1,13.8,20.7,10.7,26.4,37.1,16.9,6.2,4.0,12.6,19.0,47.8,36.2,66.6,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1132.0,34,78.5,27.8,62.8,8.0,22.4,14.9,22.2,12.1,29.0,41.1,12.6,6.7,2.6,12.1,17.5,44.3,35.7,67.0,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1177.0,36,78.4,28.0,59.5,6.7,19.5,15.6,21.5,11.3,26.1,37.4,14.3,6.3,3.3,13.5,17.5,47.1,34.3,72.7,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1234.0,35,78.3,26.1,57.3,8.1,22.3,17.9,24.3,10.3,25.3,35.6,15.5,6.0,3.2,12.1,16.1,45.6,36.4,73.9,2019,10.5,1.6,8.9,Big Ten,9,23.0,25.0,10,23,12
1359.0,33,78.3,27.9,59.1,7.7,20.8,14.8,20.2,9.8,27.4,37.1,14.0,7.2,3.8,14.0,17.0,47.2,37.0,73.1,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1286.0,32,78.2,26.8,58.8,9.6,25.6,15.0,20.3,9.2,24.6,33.8,15.3,5.3,1.4,12.3,17.7,45.6,37.4,73.7,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1417.0,33,78.2,27.8,61.0,7.8,21.8,14.7,23.3,11.5,29.6,41.1,14.3,5.9,4.1,14.1,17.1,45.7,35.5,63.3,2019,8.8,1.6,0.1,Unknown,0,50.0,213.0,13,20,16
1438.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,23.2,11.0,12.2,ACC,18,1.0,11.0,3,35,3
1277.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,19.8,9.1,10.7,Big Ten,19,3.0,1.0,6,32,7
1403.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,18.8,12.6,6.2,Big 12,15,5.0,22.0,6,31,7
1246.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,18.3,8.8,9.4,SEC,12,7.0,18.0,5,30,7
1276.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,17.8,11.5,6.3,Big Ten,13,8.0,17.0,7,30,7
1345.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,17.4,5.6,11.8,Big Ten,15,12.0,3.0,7,26,10
1439.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,16.5,6.7,9.9,ACC,4,16.0,37.0,9,26,9
1222.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,15.9,8.1,7.7,American,7,15.0,76.0,3,33,4
1199.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,14.6,8.7,5.9,ACC,12,9.0,19.0,6,29,8
1235.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,14.5,5.5,9.0,Big 12,9,26.0,28.0,10,23,12
1458.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,14.3,9.4,5.0,Big Ten,11,17.0,4.0,9,23,11
1242.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,14.2,7.3,6.9,Big 12,15,13.0,2.0,8,26,10
1257.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,13.4,6.6,6.8,ACC,6,31.0,10.0,11,20,14
1280.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,12.9,4.2,8.7,SEC,6,25.0,30.0,6,23,11
1243.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,12.7,9.9,2.8,Big 12,11,18.0,32.0,6,25,9
1437.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,12.5,4.0,8.5,Big East,5,24.0,52.0,4,26,10
1268.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,12.0,5.9,6.1,Big Ten,10,21.0,24.0,9,23,11
1153.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,11.8,6.7,5.2,American,2,22.0,65.0,6,28,7
1400.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,11.8,6.0,5.8,Big 12,9,40.0,21.0,12,21,16
1196.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,11.6,7.2,4.4,SEC,3,44.0,15.0,13,20,16
1332.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,11.6,7.8,3.7,Unknown,0,50.0,213.0,13,20,16
1266.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,11.5,5.8,5.7,Big East,6,32.0,59.0,5,24,10
1155.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,10.9,7.9,3.0,Unknown,0,50.0,213.0,13,20,16
1328.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,10.6,6.6,4.0,Big 12,7,30.0,7.0,12,20,14
1393.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,10.5,6.7,3.8,ACC,4,45.0,33.0,11,20,14
1416.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,10.5,6.0,4.5,American,3,35.0,71.0,3,24,9
1388.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,10.4,3.1,7.3,Unknown,0,50.0,213.0,13,20,16
1124.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,10.3,3.6,6.7,Big 12,9,36.0,27.0,9,20,14
1304.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,10.2,4.5,5.7,Unknown,0,50.0,213.0,13,20,16
1433.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,10.0,9.9,0.1,A-10,1,49.0,98.0,2,25,8
1326.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,9.8,6.3,3.5,Big Ten,8,34.0,14.0,12,20,15
1395.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,9.5,5.3,4.2,Big 12,8,37.0,43.0,12,23,14
1231.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,9.0,5.9,3.1,Unknown,0,50.0,213.0,13,20,16
1336.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,8.9,6.6,2.3,Unknown,0,50.0,213.0,13,20,16
1166.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,8.8,2.4,6.4,Unknown,0,50.0,213.0,13,20,16
1449.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,8.8,1.6,0.1,Pac-12,2,27.0,64.0,6,27,9
1278.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,8.8,1.6,0.1,Big Ten,9,28.0,13.0,11,22,14
1422.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,8.8,1.6,0.1,Southern,0,38.0,130.0,6,29,7
1371.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,8.8,1.6,0.1,Big East,7,46.0,38.0,6,20,14
1414.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,8.8,1.6,0.1,Big West,2,47.0,213.0,2,31,6
1396.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,8.8,1.6,0.1,American,2,48.0,75.0,6,23,10
1279.0,39,78.2,26.1,68.5,6.2,35.9,10.7,26.4,6.8,22.5,32.7,11.6,4.5,1.4,15.5,15.0,42.4,30.2,63.3,2019,8.8,1.6,0.1,SEC,4,50.0,50.0,8,20,13
1437.0,40,86.6,30.5,61.0,11.6,29.0,14.0,18.0,9.6,26.3,35.9,16.4,6.5,4.1,10.6,16.1,50.0,40.1,77.9,2018,22.8,7.3,15.5,Big East,16,1.0,11.0,2,36,4
1366.0,32,86.1,29.4,73.4,12.2,40.8,15.1,21.7,13.2,25.0,38.2,15.8,9.4,2.8,14.0,19.0,40.0,30.0,69.6,2018,9.0,-0.2,1.2,Unknown,2,50.0,173.0,14,18,16
1340.0,34,85.2,30.4,68.6,8.8,26.0,15.6,22.1,14.5,23.9,38.4,16.1,9.8,3.5,12.7,21.9,44.3,34.0,70.4,2018,9.0,-0.2,1.2,Unknown,2,50.0,173.0,14,18,16
1456.0,31,85.0,29.4,57.5,10.9,25.1,15.5,19.1,6.7,26.1,32.8,17.7,5.6,4.0,12.3,17.1,51.1,43.4,81.0,2018,9.0,-0.2,1.2,Unknown,2,50.0,173.0,14,18,16
1328.0,32,84.9,29.8,64.4,9.4,26.1,15.9,21.4,10.6,28.2,38.8,15.0,6.5,4.7,13.4,17.2,46.3,35.9,74.6,2018,9.4,2.7,6.8,Big 12,7,44.0,4.0,10,18,14
1138.0,36,84.6,30.7,64.9,9.8,26.3,13.5,19.3,11.9,26.6,38.6,16.6,6.3,4.1,12.4,21.0,47.3,37.0,69.9,2018,9.0,-0.2,1.2,Unknown,2,50.0,173.0,14,18,16
1462.0,35,84.4,28.9,58.7,7.8,21.0,18.8,24.1,9.8,28.5,38.3,16.5,5.9,3.1,12.6,17.2,49.2,37.2,77.9,2018,14.7,4.2,10.5,Big East,10,5.0,40.0,4,29,6
1181.0,37,84.4,30.4,61.8,8.4,22.5,15.2,21.4,13.4,27.7,41.1,17.5,7.4,5.0,12.4,15.5,49.2,37.2,71.0,2018,19.8,7.5,12.4,ACC,14,6.0,8.0,6,29,8
1267.0,36,83.8,28.9,62.0,10.1,28.1,15.9,20.8,8.1,27.6,35.7,17.1,7.0,5.8,13.2,17.1,46.7,35.8,76.4,2018,9.0,-0.2,1.2,Unknown,2,50.0,173.0,14,18,16
1211.0,37,83.5,30.4,61.1,8.9,24.1,13.9,19.6,11.2,28.7,39.9,15.2,6.3,3.6,11.4,17.1,49.8,36.8,70.8,2018,15.4,5.9,9.4,WCC,5,15.0,90.0,4,32,5
1166.0,33,83.5,30.5,62.1,10.4,28.0,12.0,16.1,7.5,29.0,36.5,17.8,5.7,2.7,11.2,15.2,49.2,37.2,74.8,2018,12.2,4.1,8.1,Big East,3,41.0,48.0,10,21,12
1424.0,33,83.4,29.6,60.6,5.6,16.8,18.5,26.3,12.0,28.5,40.5,16.2,5.6,4.4,14.3,17.6,48.9,33.4,70.5,2018,9.0,-0.2,1.2,Unknown,2,50.0,173.0,14,18,16
1310.0,33,83.3,28.6,64.4,8.2,23.0,17.8,24.5,12.0,27.0,39.0,12.0,5.2,4.4,11.3,17.5,44.4,35.9,72.8,2018,9.0,-0.2,1.2,Unknown,2,50.0,173.0,14,18,16
1418.0,34,83.2,28.6,61.5,8.7,24.1,17.4,22.8,12.8,26.2,39.0,17.4,7.5,4.3,13.4,19.1,46.4,36.3,76.1,2018,9.0,-0.2,1.2,Unknown,2,50.0,173.0,14,18,16
1455.0,33,82.8,29.0,60.9,9.1,23.8,15.7,21.2,12.3,28.3,40.6,18.5,4.7,3.8,11.7,17.6,47.6,38.1,73.9,2018,14.2,3.8,10.4,American,4,22.0,68.0,5,25,8
1113.0,32,82.7,27.8,60.0,9.0,24.8,18.2,24.8,9.8,25.3,35.2,14.3,6.5,3.6,10.7,18.9,46.3,36.3,73.3,2018,9.2,2.0,7.3,Unknown,2,50.0,173.0,14,18,16
1305.0,37,82.6,28.4,60.5,9.6,24.4,16.3,21.9,9.2,26.3,35.6,16.2,6.2,4.1,9.6,17.0,46.9,39.2,74.3,2018,11.2,1.7,9.4,Mountain West,4,28.0,82.0,3,29,8
1311.0,32,82.5,29.4,62.3,8.1,22.8,15.6,21.8,11.0,26.1,37.2,14.8,9.6,3.9,15.3,22.3,47.2,35.7,71.7,2018,9.0,-0.2,1.2,Unknown,2,50.0,173.0,14,18,16
1154.0,32,82.5,27.8,67.1,12.1,35.4,14.8,21.0,11.8,25.3,37.0,16.5,9.4,3.1,14.9,18.3,41.4,34.1,70.6,2018,9.0,-0.2,1.2,Unknown,2,50.0,173.0,14,18,16
1236.0,33,82.3,28.9,62.8,10.3,28.0,14.3,19.8,9.6,25.5,35.0,14.7,8.0,3.3,11.8,16.3,46.0,36.6,72.0,2018,9.0,-0.2,1.2,Unknown,2,50.0,173.0,14,18,16
1307.0,34,82.2,27.6,60.7,10.8,28.8,16.2,20.8,9.3,22.2,31.6,15.9,7.4,2.8,12.4,20.5,45.5,37.5,77.7,2018,9.0,-0.2,1.2,Unknown,2,50.0,173.0,14,18,16
1252.0,33,82.1,28.0,61.8,8.1,24.6,18.0,25.0,10.5,28.2,38.7,15.7,6.5,3.1,14.9,19.9,45.3,32.8,71.8,2018,9.0,-0.2,1.2,Unknown,2,50.0,173.0,14,18,16
1395.0,33,82.1,29.7,59.8,8.3,21.0,14.4,20.4,11.2,25.2,36.4,18.6,6.5,3.6,12.7,16.8,49.6,39.5,70.6,2018,12.3,2.7,9.6,Big 12,6,32.0,26.0,11,21,12
1126.0,32,81.9,28.2,63.7,7.5,23.7,18.0,25.6,13.3,28.8,42.1,15.7,6.3,3.8,15.8,20.9,44.3,31.8,70.1,2018,9.0,-0.2,1.2,Unknown,2,50.0,173.0,14,18,16
1351.0,32,81.9,29.1,62.6,7.6,21.2,16.0,26.4,13.2,26.0,39.2,14.3,7.5,3.4,13.3,19.9,46.5,35.8,60.8,2018,9.0,-0.2,1.2,Unknown,2,50.0,173.0,14,18,16
1120.0,34,81.9,26.6,61.8,9.5,26.7,19.0,24.6,12.0,25.9,37.9,14.1,7.4,5.3,12.1,19.8,43.1,35.7,77.4,2018,12.2,5.1,7.1,SEC,5,18.0,65.0,4,26,8
1314.0,37,81.6,29.9,65.3,8.2,22.9,13.6,18.3,13.8,28.6,42.4,18.2,5.8,4.1,12.0,15.9,45.7,35.9,74.3,2018,16.1,5.8,10.3,ACC,15,9.0,1.0,10,26,11
